"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C404230WA",7902.06011388958,5.16279122201152,0.204469980765843,3.91055951743083e-142,2.34711782236198e-138
"CAALFM_CR09350CA",1174.7420332167,8.17393601576187,0.338096693096057,4.20526180615824e-129,1.26199906802809e-125
"CAALFM_C302860WA",4665.24953001509,4.68173370830887,0.199923344941317,1.67974541333827e-122,3.36061065695209e-119
"CAALFM_C305130CA",148044.565079694,11.5456384224076,0.517948603437244,2.79421286485899e-111,4.19271640372092e-108
"CAALFM_C503480CA",19328.82791983,3.88761275460132,0.199081798742263,1.90461341674423e-86,2.28629794545978e-83
"CAALFM_C203370WA",3682.20428227489,4.44655671691197,0.228381220381552,1.12248964271744e-85,1.12286380593167e-82
"CAALFM_CR09290WA",71545.15853897,9.30994985717466,0.496803532333906,1.50458492473612e-79,1.29007410260946e-76
"CAALFM_CR09360WA",7084.39049298342,6.34557052818141,0.499956647520377,3.50767659617695e-38,2.63163436628176e-35
"CAALFM_C102590CA",28052.7950017401,2.54775475869538,0.252792517687836,3.84670769979093e-25,2.56532662379391e-22
"CAALFM_C404220WA",320.155908111694,1.71097878786805,0.257620380480007,1.4019716214366e-12,8.41463367186246e-10
"CAALFM_C204580WA",5087.6829200704,1.01387574707009,0.174453836269855,2.80012835012787e-10,1.52785185067886e-07
"CAALFM_C102600WA",2442.20991117495,1.18964710270243,0.284417283893628,1.15709795369823e-06,0.000578741826508065
"CAALFM_C302870CA",303.654551331314,1.20927705398958,0.391277368141812,6.79351446170846e-05,0.0313651336916724
"CAALFM_C200760CA",359.680370877278,2.44292299356391,0.892505996398534,0.000171255341400581,0.0734196113633062
"CAALFM_C603170CA",305.978160043283,1.32686012464313,0.547518489693583,0.000426256904063406,0.159899621136785
"CAALFM_CR09270CA",3933.96798872808,1.19335639147847,0.486380562171942,0.000411068863632334,0.159899621136785
"CAALFM_C700770WA",635.909874645947,1.2435834481435,0.527113341136966,0.00049840800758714,0.175967344796354
"CAALFM_C201970CA",2356.01452936839,0.840200749872859,0.378944389733541,0.000712747895901933,0.237661826177967
"CAALFM_CR01980CA",5315.76333459742,0.671205734983181,0.318224602722627,0.000960181444143405,0.303316264618353
"CAALFM_C111490CA",30.7684653677879,1.39641735084587,0.711809117427219,0.00118232439425191,0.354815550714999
"CAALFM_C110270CA",1677.08035928386,0.25017104910762,0.117946278895542,0.00145517764137603,0.415903628739949
"CAALFM_C406510CA",1552.43236241406,0.992831167017446,0.845805126182255,0.00333045551995495,0.908608819580438
"CAALFM_C100020CA",1585.32421743591,-0.00109545451548644,0.0561703029511739,0.889464038411029,0.999708752221059
"CAALFM_C100030CA",54.1648375580755,0.00504566780084937,0.0566668283442972,0.411746676792688,0.999708752221059
"CAALFM_C100040WA",751.885322601398,-0.00313332496716166,0.0554416304399785,0.774586376004619,0.999708752221059
"CAALFM_C100060WA",17369.3567951687,0.0127121947388993,0.0565671694509624,0.508196529906932,0.999708752221059
"CAALFM_C100070WA",6408.4979151704,-0.00132134813811323,0.0559207153901887,0.881091751586909,0.999708752221059
"CAALFM_C100080CA",750.059692121671,-0.00609702637886707,0.0542372539503599,0.717103637806643,0.999708752221059
"CAALFM_C100090WA",108.604738304166,0.0146384624364315,0.058411466710296,0.172604682028212,0.999708752221059
"CAALFM_C100100CA",1604.70205145393,-0.00159911828960996,0.0557801152018119,0.871019745868138,0.999708752221059
"CAALFM_C100110WA",7851.51071279075,-0.000528178129447773,0.0560962924115415,0.942059693135517,0.999708752221059
"CAALFM_C100120CA",1562.29532028299,-0.011255959454689,0.0557775747789051,0.477060595715393,0.999708752221059
"CAALFM_C100130CA",1919.13037566569,0.00307520300704897,0.055463080881781,0.798782678440862,0.999708752221059
"CAALFM_C100140WA",3825.94572311228,0.02005463944974,0.0528141027829114,0.428341366228662,0.999708752221059
"CAALFM_C100150CA",1539.31255829885,0.00618634889463147,0.0559635288180224,0.487325280654476,0.999708752221059
"CAALFM_C100160CA",16063.4991199353,-0.000394864168206979,0.0565970035413227,0.875913761238728,0.999708752221059
"CAALFM_C100170WA",3308.83275892657,-0.00164360718369346,0.0564648786923553,0.743996155034873,0.999708752221059
"CAALFM_C100180WA",64266.9044981682,-0.00328012235121726,0.0566077793570078,0.741221456709364,0.999708752221059
"CAALFM_C100190CA",33.9608322776516,-0.00300116412288068,0.0566594459371937,0.423955026603163,0.999708752221059
"CAALFM_C100200CA",79.7983210423639,-0.00207780278526417,0.0563588277089381,0.741025369254422,0.999708752221059
"CAALFM_C100210CA",4395.39248768198,6.83168597137623e-05,0.0555833796686822,0.988128553567364,0.999708752221059
"CAALFM_C100220WA",16074.954118194,0.00802052203916798,0.056319411481005,0.478117516867827,0.999708752221059
"CAALFM_C100230CA",954.133841063475,-0.00671784220425939,0.0539432346933754,0.705856303190774,0.999708752221059
"CAALFM_C100240CA",25.9449023465294,-0.00155602161230207,0.0566204527901069,0.595906177269672,0.999708752221059
"CAALFM_C100320WA",611.31817133918,0.00908329629785959,0.0559112147730885,0.508766290656322,0.999708752221059
"CAALFM_C100330CA",1247.31246707112,0.00197186712534684,0.0540083220837874,0.906241334499669,0.999708752221059
"CAALFM_C100340WA",2123.77944038607,-0.00111723032457513,0.0563641847569015,0.844218306439291,0.999708752221059
"CAALFM_C100350CA",2870.87421010888,0.00285281695845289,0.056538416967005,0.58053672108553,0.999708752221059
